,id,xPos,yPos,fitness,A,foodFlag,nestFlag,pRepeat,pTarget,pPhero,timeForFood,timeForNest,deadFlag,timestep
0,180,0,0,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,0
0,182,0,0,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,0
0,187,0,0,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,0
0,188,0,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,0
0,189,0,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,0
0,190,0,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,0
0,191,0,0,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,0
0,192,0,0,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,0
0,193,0,0,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,0
0,194,0,0,0.2619047619047619,2,0,0,0.41090570798923076,0.5272405185064784,0.06185377350429077,0,0,False,0
0,180,1,0,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,1
0,182,0,1,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,1
0,187,1,0,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,1
0,188,1,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,1
0,189,1,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,1
0,190,1,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,1
0,191,1,0,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,1
0,192,1,0,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,1
0,193,0,1,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,1
0,194,1,0,0.2619047619047619,2,0,0,0.41090570798923076,0.5272405185064784,0.06185377350429077,0,0,False,1
0,180,2,0,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,2
0,182,0,2,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,2
0,187,2,0,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,2
0,188,2,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,2
0,189,2,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,2
0,190,2,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,2
0,191,2,0,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,2
0,192,2,0,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,2
0,193,0,2,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,2
0,194,2,0,0.2619047619047619,2,0,0,0.41090570798923076,0.5272405185064784,0.06185377350429077,0,0,False,2
0,180,3,0,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,3
0,182,1,2,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,3
0,187,3,0,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,3
0,188,3,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,3
0,189,3,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,3
0,190,3,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,3
0,191,3,0,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,3
0,192,3,0,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,3
0,193,0,3,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,3
0,194,3,0,0.2619047619047619,2,0,0,0.41090570798923076,0.5272405185064784,0.06185377350429077,0,0,False,3
0,180,4,0,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,4
0,182,1,3,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,4
0,187,4,0,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,4
0,188,4,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,4
0,189,4,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,4
0,190,4,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,4
0,191,4,0,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,4
0,192,4,0,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,4
0,193,0,4,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,4
0,194,4,0,0.2619047619047619,2,0,0,0.41090570798923076,0.5272405185064784,0.06185377350429077,0,0,False,4
0,180,5,0,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,5
0,182,1,4,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,5
0,187,4,1,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,5
0,188,5,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,5
0,189,5,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,5
0,190,5,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,5
0,191,5,0,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,5
0,192,5,0,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,5
0,193,0,5,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,5
0,194,5,0,0.2619047619047619,2,0,0,0.41090570798923076,0.5272405185064784,0.06185377350429077,0,0,False,5
0,180,6,0,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,6
0,182,1,5,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,6
0,187,4,2,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,6
0,188,6,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,6
0,189,6,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,6
0,190,6,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,6
0,191,6,0,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,6
0,192,6,0,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,6
0,193,0,6,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,6
0,194,6,0,0.2619047619047619,2,0,0,0.41090570798923076,0.5272405185064784,0.06185377350429077,0,0,False,6
0,180,6,1,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,7
0,182,1,6,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,7
0,187,4,3,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,7
0,188,7,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,7
0,189,7,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,7
0,190,7,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,7
0,191,6,1,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,7
0,192,7,0,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,7
0,193,0,7,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,7
0,194,6,1,0.2619047619047619,2,0,0,0.41090570798923076,0.5272405185064784,0.06185377350429077,0,0,False,7
0,180,6,2,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,8
0,182,0,6,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,8
0,187,4,4,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,8
0,188,8,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,8
0,189,8,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,8
0,190,8,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,8
0,191,6,2,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,8
0,192,7,1,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,8
0,193,0,8,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,8
0,194,6,2,0.2619047619047619,2,0,0,0.41090570798923076,0.5272405185064784,0.06185377350429077,0,0,False,8
0,180,6,3,0.6071428571428572,1,0,0,0.164298032003821,0.452674933978221,0.38302703401795796,0,0,False,9
0,182,0,7,0.2619047619047619,2,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,9
0,187,5,4,0.0,1,0,0,0.19572884444291294,0.45139171179679866,0.3528794437602884,0,0,False,9
0,188,9,0,0.0,1,0,0,0.1937293435867312,0.44678044401570116,0.3594902123975676,0,0,False,9
0,189,9,0,0.0,1,0,0,0.1895065977255448,0.4370419075818455,0.37345149469260974,0,0,False,9
0,190,9,0,0.2619047619047619,3,0,0,0.39386013284296617,0.5424963408769207,0.0636435262801132,0,0,False,9
0,191,7,2,0.2619047619047619,2,0,0,0.37632227234284926,0.5628681294458151,0.060809598211335615,0,0,False,9
0,192,8,1,0.6071428571428572,1,0,0,0.17143676686118417,0.4288937086070772,0.3996695245317386,0,0,False,9
0,193,0,9,0.0,1,0,0,0.1883312959633705,0.4721262970328834,0.339542407003746,0,0,False,9
