,id,xPos,yPos,fitness,A,foodFlag,nestFlag,pRepeat,pTarget,pPhero,timeForFood,timeForNest,deadFlag,timestep
0,301,0,0,0.10714285714285715,9,0,0,0.10480741757121255,0.7446663047141425,0.15052627771464488,0,0,False,0
0,302,0,0,0.38095238095238093,2,0,0,0.13427897641281653,0.22327268457043153,0.6424483390167519,0,0,False,0
0,304,0,0,0.0,5,0,0,0.5126978209586344,0.0416256238258894,0.44567655521547617,0,0,False,0
0,305,0,0,0.38095238095238093,2,0,0,0.13398339381797209,0.22498246134647276,0.6410341448355551,0,0,False,0
0,306,0,0,0.0,5,0,0,0.5143962704869253,0.038450750751345464,0.4471529787617294,0,0,False,0
0,307,0,0,0.38095238095238093,2,0,0,0.1319783197868428,0.23658067136446304,0.6314410088486941,0,0,False,0
0,308,0,0,0.38095238095238093,2,0,0,0.12602042098308083,0.22540259685306321,0.648576982163856,0,0,False,0
0,309,0,0,0.10714285714285715,10,0,0,0.10480741757121255,0.7446663047141425,0.15052627771464488,0,0,False,0
0,310,0,0,0.10714285714285715,9,0,0,0.09646122894281536,0.7516090850346555,0.15192968602252915,0,0,False,0
0,311,0,0,0.38095238095238093,2,0,0,0.13589263260990747,0.21393860354393143,0.6501687638461611,0,0,False,0
0,301,1,0,0.10714285714285715,9,0,0,0.10480741757121255,0.7446663047141425,0.15052627771464488,0,0,False,1
0,302,0,1,0.38095238095238093,2,0,0,0.13427897641281653,0.22327268457043153,0.6424483390167519,0,0,False,1
0,304,0,1,0.0,5,0,0,0.5126978209586344,0.0416256238258894,0.44567655521547617,0,0,False,1
0,305,0,1,0.38095238095238093,2,0,0,0.13398339381797209,0.22498246134647276,0.6410341448355551,0,0,False,1
0,306,0,1,0.0,5,0,0,0.5143962704869253,0.038450750751345464,0.4471529787617294,0,0,False,1
0,307,0,1,0.38095238095238093,2,0,0,0.1319783197868428,0.23658067136446304,0.6314410088486941,0,0,False,1
0,308,0,1,0.38095238095238093,2,0,0,0.12602042098308083,0.22540259685306321,0.648576982163856,0,0,False,1
0,309,1,0,0.10714285714285715,10,0,0,0.10480741757121255,0.7446663047141425,0.15052627771464488,0,0,False,1
0,310,1,0,0.10714285714285715,9,0,0,0.09646122894281536,0.7516090850346555,0.15192968602252915,0,0,False,1
0,311,0,1,0.38095238095238093,2,0,0,0.13589263260990747,0.21393860354393143,0.6501687638461611,0,0,False,1
0,301,1,1,0.10714285714285715,9,0,0,0.10480741757121255,0.7446663047141425,0.15052627771464488,0,0,False,2
0,302,0,2,0.38095238095238093,2,0,0,0.13427897641281653,0.22327268457043153,0.6424483390167519,0,0,False,2
0,304,1,1,0.0,5,0,0,0.5126978209586344,0.0416256238258894,0.44567655521547617,0,0,False,2
0,305,0,2,0.38095238095238093,2,0,0,0.13398339381797209,0.22498246134647276,0.6410341448355551,0,0,False,2
0,306,0,2,0.0,5,0,0,0.5143962704869253,0.038450750751345464,0.4471529787617294,0,0,False,2
0,307,1,1,0.38095238095238093,2,0,0,0.1319783197868428,0.23658067136446304,0.6314410088486941,0,0,False,2
0,308,0,2,0.38095238095238093,2,0,0,0.12602042098308083,0.22540259685306321,0.648576982163856,0,0,False,2
0,309,2,0,0.10714285714285715,10,0,0,0.10480741757121255,0.7446663047141425,0.15052627771464488,0,0,False,2
0,310,2,0,0.10714285714285715,9,0,0,0.09646122894281536,0.7516090850346555,0.15192968602252915,0,0,False,2
0,311,0,2,0.38095238095238093,2,0,0,0.13589263260990747,0.21393860354393143,0.6501687638461611,0,0,False,2
0,301,1,2,0.10714285714285715,9,0,0,0.10480741757121255,0.7446663047141425,0.15052627771464488,0,0,False,3
0,302,0,3,0.38095238095238093,2,0,0,0.13427897641281653,0.22327268457043153,0.6424483390167519,0,0,False,3
0,304,1,0,0.0,5,0,0,0.5126978209586344,0.0416256238258894,0.44567655521547617,0,0,False,3
0,305,0,3,0.38095238095238093,2,0,0,0.13398339381797209,0.22498246134647276,0.6410341448355551,0,0,False,3
0,306,0,3,0.0,5,0,0,0.5143962704869253,0.038450750751345464,0.4471529787617294,0,0,False,3
0,307,1,0,0.38095238095238093,2,0,0,0.1319783197868428,0.23658067136446304,0.6314410088486941,0,0,False,3
0,308,0,3,0.38095238095238093,2,0,0,0.12602042098308083,0.22540259685306321,0.648576982163856,0,0,False,3
0,309,3,0,0.10714285714285715,10,0,0,0.10480741757121255,0.7446663047141425,0.15052627771464488,0,0,False,3
0,310,3,0,0.10714285714285715,9,0,0,0.09646122894281536,0.7516090850346555,0.15192968602252915,0,0,False,3
0,311,1,2,0.38095238095238093,2,0,0,0.13589263260990747,0.21393860354393143,0.6501687638461611,0,0,False,3
0,301,1,3,0.10714285714285715,9,0,0,0.10480741757121255,0.7446663047141425,0.15052627771464488,0,0,False,4
0,302,0,4,0.38095238095238093,2,0,0,0.13427897641281653,0.22327268457043153,0.6424483390167519,0,0,False,4
0,304,0,0,0.0,5,0,0,0.5126978209586344,0.0416256238258894,0.44567655521547617,0,0,False,4
0,305,0,4,0.38095238095238093,2,0,0,0.13398339381797209,0.22498246134647276,0.6410341448355551,0,0,False,4
