,id,xPos,yPos,fitness,A,foodFlag,nestFlag,pRepeat,pTarget,pPhero,timeForFood,timeForNest,deadFlag,timestep
0,68,0,0,0.15476190476190477,5,0,0,0.03101735584546411,0.9016585857489715,0.06732405840556427,0,0,False,0
0,72,0,0,0.39285714285714285,1,0,0,0.3005787881923482,0.33503191532609894,0.36438929648155277,0,0,False,0
0,76,0,0,0.0,10,0,0,0.2873914943040997,0.45189947509990336,0.2607090305959969,0,0,False,0
0,77,0,0,0.39285714285714285,2,0,0,0.30057878819234823,0.335031915326099,0.3643892964815528,0,0,False,0
0,78,0,0,0.0,10,0,0,0.3003159999533309,0.4437034217660891,0.2559805782805801,0,0,False,0
0,79,0,0,0.15476190476190477,5,0,0,0.03101937128688937,0.9017171735948929,0.06726345511821784,0,0,False,0
0,80,0,0,0.0,10,0,0,0.29074314485475594,0.4497740315885594,0.2594828235566846,0,0,False,0
0,81,0,0,0.39285714285714285,1,0,0,0.29745849176471617,0.33155396235802137,0.37098754587726246,0,0,False,0
0,82,0,0,0.0,10,0,0,0.2837849764734585,0.4541865422645222,0.2620284812620193,0,0,False,0
0,83,0,0,0.0,10,0,0,0.2889259480286494,0.45431227731024076,0.2567617746611097,0,0,False,0
0,68,0,1,0.15476190476190477,5,0,0,0.03101735584546411,0.9016585857489715,0.06732405840556427,0,0,False,1
0,72,1,0,0.39285714285714285,1,0,0,0.3005787881923482,0.33503191532609894,0.36438929648155277,0,0,False,1
0,76,1,0,0.0,10,0,0,0.2873914943040997,0.45189947509990336,0.2607090305959969,0,0,False,1
0,77,0,1,0.39285714285714285,2,0,0,0.30057878819234823,0.335031915326099,0.3643892964815528,0,0,False,1
0,78,1,0,0.0,10,0,0,0.3003159999533309,0.4437034217660891,0.2559805782805801,0,0,False,1
0,79,1,0,0.15476190476190477,5,0,0,0.03101937128688937,0.9017171735948929,0.06726345511821784,0,0,False,1
0,80,1,0,0.0,10,0,0,0.29074314485475594,0.4497740315885594,0.2594828235566846,0,0,False,1
0,81,1,0,0.39285714285714285,1,0,0,0.29745849176471617,0.33155396235802137,0.37098754587726246,0,0,False,1
0,82,1,0,0.0,10,0,0,0.2837849764734585,0.4541865422645222,0.2620284812620193,0,0,False,1
0,83,1,0,0.0,10,0,0,0.2889259480286494,0.45431227731024076,0.2567617746611097,0,0,False,1
0,68,0,2,0.15476190476190477,5,0,0,0.03101735584546411,0.9016585857489715,0.06732405840556427,0,0,False,2
0,72,2,0,0.39285714285714285,1,0,0,0.3005787881923482,0.33503191532609894,0.36438929648155277,0,0,False,2
0,76,1,1,0.0,10,0,0,0.2873914943040997,0.45189947509990336,0.2607090305959969,0,0,False,2
0,77,0,2,0.39285714285714285,2,0,0,0.30057878819234823,0.335031915326099,0.3643892964815528,0,0,False,2
0,78,2,0,0.0,10,0,0,0.3003159999533309,0.4437034217660891,0.2559805782805801,0,0,False,2
0,79,2,0,0.15476190476190477,5,0,0,0.03101937128688937,0.9017171735948929,0.06726345511821784,0,0,False,2
0,80,1,1,0.0,10,0,0,0.29074314485475594,0.4497740315885594,0.2594828235566846,0,0,False,2
0,81,1,1,0.39285714285714285,1,0,0,0.29745849176471617,0.33155396235802137,0.37098754587726246,0,0,False,2
0,82,2,0,0.0,10,0,0,0.2837849764734585,0.4541865422645222,0.2620284812620193,0,0,False,2
0,83,2,0,0.0,10,0,0,0.2889259480286494,0.45431227731024076,0.2567617746611097,0,0,False,2
0,68,0,3,0.15476190476190477,5,0,0,0.03101735584546411,0.9016585857489715,0.06732405840556427,0,0,False,3
0,72,3,0,0.39285714285714285,1,0,0,0.3005787881923482,0.33503191532609894,0.36438929648155277,0,0,False,3
0,76,0,1,0.0,10,0,0,0.2873914943040997,0.45189947509990336,0.2607090305959969,0,0,False,3
0,77,0,3,0.39285714285714285,2,0,0,0.30057878819234823,0.335031915326099,0.3643892964815528,0,0,False,3
0,78,3,0,0.0,10,0,0,0.3003159999533309,0.4437034217660891,0.2559805782805801,0,0,False,3
0,79,3,0,0.15476190476190477,5,0,0,0.03101937128688937,0.9017171735948929,0.06726345511821784,0,0,False,3
0,80,0,1,0.0,10,0,0,0.29074314485475594,0.4497740315885594,0.2594828235566846,0,0,False,3
0,81,1,2,0.39285714285714285,1,0,0,0.29745849176471617,0.33155396235802137,0.37098754587726246,0,0,False,3
0,82,3,0,0.0,10,0,0,0.2837849764734585,0.4541865422645222,0.2620284812620193,0,0,False,3
0,83,2,1,0.0,10,0,0,0.2889259480286494,0.45431227731024076,0.2567617746611097,0,0,False,3
0,68,0,4,0.15476190476190477,5,0,0,0.03101735584546411,0.9016585857489715,0.06732405840556427,0,0,False,4
0,72,4,0,0.39285714285714285,1,0,0,0.3005787881923482,0.33503191532609894,0.36438929648155277,0,0,False,4
0,76,0,0,0.0,10,0,0,0.2873914943040997,0.45189947509990336,0.2607090305959969,0,0,False,4
0,77,0,4,0.39285714285714285,2,0,0,0.30057878819234823,0.335031915326099,0.3643892964815528,0,0,False,4
0,78,4,0,0.0,10,0,0,0.3003159999533309,0.4437034217660891,0.2559805782805801,0,0,False,4
0,79,4,0,0.15476190476190477,5,0,0,0.03101937128688937,0.9017171735948929,0.06726345511821784,0,0,False,4
0,80,0,0,0.0,10,0,0,0.29074314485475594,0.4497740315885594,0.2594828235566846,0,0,False,4
0,81,1,3,0.39285714285714285,1,0,0,0.29745849176471617,0.33155396235802137,0.37098754587726246,0,0,False,4
0,82,3,1,0.0,10,0,0,0.2837849764734585,0.4541865422645222,0.2620284812620193,0,0,False,4
0,83,1,1,0.0,10,0,0,0.2889259480286494,0.45431227731024076,0.2567617746611097,0,0,False,4
0,68,0,5,0.15476190476190477,5,0,0,0.03101735584546411,0.9016585857489715,0.06732405840556427,0,0,False,5
0,72,5,0,0.39285714285714285,1,0,0,0.3005787881923482,0.33503191532609894,0.36438929648155277,0,0,False,5
0,76,1,0,0.0,10,0,0,0.2873914943040997,0.45189947509990336,0.2607090305959969,0,0,False,5
0,77,0,5,0.39285714285714285,2,0,0,0.30057878819234823,0.335031915326099,0.3643892964815528,0,0,False,5
0,78,5,0,0.0,10,0,0,0.3003159999533309,0.4437034217660891,0.2559805782805801,0,0,False,5
0,79,5,0,0.15476190476190477,5,0,0,0.03101937128688937,0.9017171735948929,0.06726345511821784,0,0,False,5
